,title,label
0,House Dem Aide: We Didn’t Even See Comey’s Letter Until Jason Chaffetz Tweeted It,1
1,"FLYNN: Hillary Clinton, Big Woman on Campus - Breitbart",0
2,Why the Truth Might Get You Fired,1
3,15 Civilians Killed In Single US Airstrike Have Been Identified,1
4,Iranian woman jailed for fictional unpublished story about woman stoned to death for adultery,1
5,Jackie Mason: Hollywood Would Love Trump if He Bombed North Korea over Lack of Trans Bathrooms (Exclusive Video) - Breitbart,0
6,"Life: Life Of Luxury: Elton John’s 6 Favorite Shark Pictures To Stare At During Long, Transcontinental Flights",1
7,Benoît Hamon Wins French Socialist Party’s Presidential Nomination - The New York Times,0
8,Excerpts From a Draft Script for Donald Trump’s Q&ampA With a Black Church’s Pastor - The New York Times,0
9,"A Back-Channel Plan for Ukraine and Russia, Courtesy of Trump Associates - The New York Times",0
10,Obama’s Organizing for Action Partners with Soros-Linked ‘Indivisible’ to Disrupt Trump’s Agenda,0
11,"BBC Comedy Sketch ""Real Housewives of ISIS"" Causes Outrage",0
12,Russian Researchers Discover Secret Nazi Military Base ‘Treasure Hunter’ in the Arctic [Photos],1
13,US Officials See No Link Between Trump and Russia,1
14,"Re: Yes, There Are Paid Government Trolls On Social Media, Blogs, Forums And Websites",1
15,"In Major League Soccer, Argentines Find a Home and Success - The New York Times",0
16,Wells Fargo Chief Abruptly Steps Down - The New York Times,0
17,Anonymous Donor Pays $2.5 Million To Release Everyone Arrested At The Dakota Access Pipeline,1
18,FBI Closes In On Hillary!,1
19,Chuck Todd: ’BuzzFeed Did Donald Trump a Political Favor’ - Breitbart,0
20,News: Hope For The GOP: A Nude Paul Ryan Has Just Emerged From An Ayahuasca Tent With Visions Of A New Republican Party,1
21,"Monica Lewinsky, Clinton Sex Scandal Set for ’American Crime Story’",0
22,Rob Reiner: Trump Is ’Mentally Unstable’ - Breitbart,0
23,Massachusetts Cop’s Wife Busted for Pinning Fake Home-Invasion Robbery on Black Lives Matter,1
24,Abortion Pill Orders Rise in 7 Latin American Nations on Zika Alert - The New York Times,0
25,Nukes and the UN: a Historic Treaty to Ban Nuclear Weapons,1
